ID,Kanji,Onyomi,Kunyomi,Meaning
354,斉,"せい, さい","そろ.う, ひと.しい, ひと.しく, あたる, はやい","Adjusted, Alike, Equal, Similar Variety Of"
355,敷,ふ,"し.く, -し.き","Spread, Pave, Sit, Promulgate"
356,擁,よう,,"Hug, Embrace, Possess, Protect, Lead"
357,圏,けん,かこ.い,"Sphere, Circle, Radius, Range"
358,酸,さん,す.い,"Acid, Bitterness, Sour, Tart"
359,罰,"ばつ, ばち, はつ",ばっ.する,"Penalty, Punishment"
360,滅,めつ,"ほろ.びる, ほろ.ぶ, ほろ.ぼす","Destroy, Ruin, Overthrow, Perish"
361,礎,そ,いしずえ,"Cornerstone, Foundation Stone"
362,腐,ふ,"くさ.る, -くさ.る, くさ.れる, くさ.れ, くさ.らす, くさ.す","Rot, Decay, Sour"
363,脚,"きゃく, きゃ, かく",あし,"Skids, Leg, Undercarriage, Lower Part, Base"
364,菱,りょう,ひし,"Diamond (shape), Water Chestnut, Rhombus"
365,潮,ちょう,"しお, うしお","Tide, Salt Water, Opportunity"
366,梅,ばい,うめ,Plum
367,尽,"じん, さん","つ.くす, -つ.くす, -づ.くし, -つ.く, -づ.く, -ず.く, つ.きる, つ.かす, さかづき, ことごと.く, つか, つき","Exhaust, Use Up, Run Out Of, Deplete, Befriend, Serve"
368,僕,ぼく,しもべ,"Me, I (male), Servant, Manservant"
369,桜,"おう, よう",さくら,Cherry
370,滑,"かつ, こつ","すべ.る, なめ.らか","Slippery, Slide, Slip, Flunk"
371,孤,こ,,"Orphan, Alone"
372,煕,き,"たのし.む, ひか.る, ひろ.い, よろこ.ぶ, かわ.く, あきらか, ひろ.める, ひろ.まる",Shine
373,炎,えん,ほのお,"Inflammation, Flame, Blaze"
374,賠,ばい,,"Compensation, Indemnify"
375,句,く,,"Phrase, Clause, Sentence, Passage, Paragraph, Counter For Haiku"
376,寿,"じゅ, す, しゅう","ことぶき, ことぶ.く, ことほ.ぐ","Longevity, Congratulations, One's Natural Life"
377,鋼,こう,はがね,Steel
378,頑,がん,かたく,"Stubborn, Foolish, Firmly"
379,鎖,さ,"くさり, とざ.す","Chain, Irons, Connection"
380,彩,さい,いろど.る,"Coloring, Paint, Makeup"
381,摩,ま,"ま.する, さす.る, す.る","Chafe, Rub, Polish, Grind, Scrape"
382,励,れい,"はげ.む, はげ.ます","Encourage, Be Diligent, Inspire"
383,縦,じゅう,たて,"Vertical, Length, Height, Self-indulgent, Wayward"
384,輝,き,かがや.く,"Radiance, Shine, Sparkle, Gleam, Twinkle"
385,蓄,ちく,たくわ.える,"Amass, Raise, Hoard, Store"
386,軸,じく,,"Axis, Pivot, Stem, Stalk, Counter For Book Scrolls"
387,巡,じゅん,"めぐ.る, めぐ.り","Patrol, Go Around, Circumference"
388,稼,か,かせ.ぐ,"Earnings, Work, Earn Money"
389,瞬,しゅん,"またた.く, まじろ.ぐ","Wink, Blink, Twinkle"
390,砲,ほう,,"Cannon, Gun"
391,噴,ふん,ふ.く,"Erupt, Spout, Emit, Flush Out"
392,誇,こ,ほこ.る,"Boast, Be Proud, Pride, Triumphantly"
393,祥,しょう,"さいわ.い, きざ.し, よ.い, つまび.らか","Auspicious, Happiness, Blessedness, Good Omen, Good Fortune"
394,牲,せい,,"Animal Sacrifice, Offering"
395,秩,ちつ,,"Regularity, Salary, Order"
396,帝,てい,みかど,"Sovereign, The Emperor, God, Creator"
397,宏,こう,ひろ.い,"Wide, Large"
398,唆,さ,"そそ.る, そそのか.す","Tempt, Seduce, Instigate, Promote"
399,阻,そ,はば.む,"Thwart, Separate From, Prevent, Obstruct, Deter, Impede"
400,泰,たい,,"Peaceful, Calm, Peace, Easy, Thailand, Extreme, Excessive, Great"
401,賄,わい,まかな.う,"Bribe, Board, Supply, Finance"
402,撲,ぼく,,"Slap, Strike, Hit, Beat, Tell, Speak"
403,堀,くつ,ほり,"Ditch, Moat, Canal"
404,菊,きく,,Chrysanthemum
405,絞,こう,"しぼ.る, し.める, し.まる","Strangle, Constrict, Wring"
406,縁,"えん, -ねん","ふち, ふちど.る, ゆかり, よすが, へり, えにし","Affinity, Relation, Connection, Edge, Border, Verge, Brink"
407,唯,"ゆい, い",ただ,"Solely, Only, Merely, Simply"
408,膨,ぼう,"ふく.らむ, ふく.れる","Swell, Get Fat, Thick"
409,耐,たい,た.える,"-proof, Enduring"
410,塾,じゅく,,"Cram School, Private School"
411,漏,ろう,"も.る, も.れる, も.らす","Leak, Escape, Time"
412,慶,けい,よろこ.び,"Jubilation, Congratulate, Rejoice, Be Happy"
413,猛,もう,,"Fierce, Rave, Rush, Become Furious, Wildness, Strength"
414,芳,ほう,かんば.しい,"Perfume, Balmy, Favorable, Fragrant"
415,懲,ちょう,"こ.りる, こ.らす, こ.らしめる","Penal, Chastise, Punish, Discipline"
416,剣,けん,つるぎ,"Sabre, Sword, Blade, Clock Hand"
417,幌,こう,"ほろ, とばり","Canopy, Awning, Hood, Curtain"
418,彰,しょう,,"Patent, Clear"
419,棋,き,ご,"Chess Piece, Japanese Chess, Shogi"
420,丁,"ちょう, てい, ちん, とう, ち",ひのと,"Street, Ward, Town, Counter For Guns, Tools, Leaves Or Cakes Of Something, Even Number, 4th Calendar Sign"
421,恒,こう,"つね, つねに","Constancy, Always"
422,揚,よう,"あ.げる, -あ.げ, あ.がる","Raise, Elevate, Hoist, Praise, Extol, Fry In Deep Fat"
423,冒,ぼう,おか.す,"Risk, Face, Defy, Dare, Damage, Assume (a Name)"
424,之,し,"の, これ, ゆく, この","Of, This"
425,曽,"そう, そ, ぞう","かつ, かつて, すなわち","Formerly, Once, Before, Ever, Never, Ex-"
426,倫,りん,,"Ethics, Companion"
427,陳,ちん,ひ.ねる,"Exhibit, State, Relate, Explain"
428,憶,おく,,"Recollection, Think, Remember"
429,潜,せん,"ひそ.む, もぐ.る, かく.れる, くぐ.る, ひそ.める","Submerge, Conceal, Hide, Lower (voice), Hush"
430,梨,り,なし,Pear Tree
431,仁,"じん, に, にん",,"Humanity, Virtue, Benevolence, Charity, Man, Kernel"
432,克,こく,か.つ,"Overcome, Kindly, Skillfully"
433,岳,がく,たけ,"Point, Peak, Mountain"
434,概,がい,おおむ.ね,"Outline, Condition, Approximation, Generally"
435,拘,こう,かか.わる,"Arrest, Seize, Concerned, Adhere To, Despite"
436,墓,ぼ,はか,"Grave, Tomb"
437,黙,"もく, ぼく","だま.る, もだ.す","Silence, Become Silent, Stop Speaking, Leave As Is"
438,須,"す, しゅ","すべから.く, すべし, ひげ, まつ, もち.いる, もと.める","Ought, By All Means, Necessarily"
439,偏,へん,かたよ.る,"Partial, Side, Left-side Radical, Inclining, Biased"
440,雰,ふん,,"Atmosphere, Fog"
441,遇,ぐう,あ.う,"Meet, Encounter, Interview, Treat, Entertain, Receive, Deal With"
442,諮,し,はか.る,Consult With
443,狭,"きょう, こう","せま.い, せば.める, せば.まる, さ","Cramped, Narrow, Contract, Tight"
444,卓,たく,,"Eminent, Table, Desk, High"
445,亀,"き, きゅう, きん",かめ,"Tortoise, Turtle"
446,糧,"りょう, ろう",かて,"Provisions, Food, Bread"
447,梶,び,"かじ, こずえ",Sculling Oar
448,簿,ぼ,,"Register, Record Book"
449,炉,ろ,いろり,"Hearth, Furnace, Kiln, Reactor"
450,牧,ぼく,まき,"Breed, Care For, Shepherd, Feed, Pasture"
451,殊,しゅ,こと,"Particularly, Especially, Exceptionally"
452,殖,しょく,"ふ.える, ふ.やす","Augment, Increase, Multiply, Raise"
453,艦,かん,,Warship
454,輩,はい,"-ばら, やから, やかい, ともがら","Comrade, Fellow, People, Companions"
455,穴,けつ,あな,"Hole, Aperture, Slit, Cave, Den"
456,奇,き,"く.しき, あや.しい, くし, めずら.しい","Strange, Strangeness, Curiosity"
457,慢,まん,,"Ridicule, Laziness"
458,鶴,かく,つる,"Crane, Stork"
459,謀,"ぼう, む","はか.る, たばか.る, はかりごと","Conspire, Cheat, Impose On, Plan, Devise, Scheme, Have In Mind, Deceive"
460,暖,"だん, のん","あたた.か, あたた.かい, あたた.まる, あたた.める",Warmth
461,昌,しょう,さかん,"Prosperous, Bright, Clear"
462,拍,"はく, ひょう",,"Clap, Beat (music)"
463,朗,ろう,"ほが.らか, あき.らか","Melodious, Clear, Bright, Serene, Cheerful"
464,丈,じょう,"たけ, だけ","Length, Ten Shaku, Measure, Mr., Ms., Height, Stature, All (one Has), Only, That's All, Merely"
465,寛,かん,"くつろ.ぐ, ひろ.い, ゆる.やか","Tolerant, Leniency, Generosity, Relax, Feel At Home, Be At Ease, Broadminded"
466,覆,ふく,"おお.う, くつがえ.す, くつがえ.る","Capsize, Cover, Shade, Mantle, Be Ruined"
467,胞,ほう,,"Placenta, Sac, Sheath"
468,泣,きゅう,な.く,"Cry, Weep, Moan"
469,隔,かく,"へだ.てる, へだ.たる","Isolate, Alternate, Distance, Separate, Gulf"
470,浄,"じょう, せい","きよ.める, きよ.い","Clean, Purify, Cleanse, Exorcise, Manchu Dynasty"
471,没,"ぼつ, もつ","おぼ.れる, しず.む, ない","Drown, Sink, Hide, Fall Into, Disappear, Die"
472,暇,か,"ひま, いとま","Spare Time, Rest, Leisure, Time, Leave Of Absence"
473,肺,はい,,Lungs
474,貞,てい,さだ,"Upright, Chastity, Constancy, Righteousness"
475,靖,"せい, じょう",やす.んじる,Peaceful
476,鑑,かん,"かんが.みる, かがみ","Specimen, Take Warning From, Learn From"
477,飼,し,か.う,"Domesticate, Raise, Keep, Feed"
478,陰,いん,"かげ, かげ.る","Shade, Yin, Negative, Sex Organs, Secret, Shadow"
479,銘,めい,,"Inscription, Signature (of Artisan)"
480,随,ずい,"まにま.に, したが.う","Follow, Though, Notwithstanding, While, During, Both, All, Obey, Submit To, Comply, At The Mercy Of (the Waves)"
481,烈,れつ,はげ.しい,"Ardent, Violent, Vehement, Furious, Severe, Extreme"
482,尋,じん,"たず.ねる, ひろ","Inquire, Fathom, Look For"
483,渕,"えん, かく, こう","ふち, かた.い, はなわ",Edge
484,稿,こう,"わら, したがき","Draft, Copy, Manuscript, Straw"
485,丹,たん,に,"Rust-colored, Red, Red Lead, Pills, Sincerity"
486,啓,けい,"ひら.く, さと.す","Disclose, Open, Say"
487,也,"や, え","なり, か, また",To Be (classical)
488,丘,きゅう,おか,"Hill, Knoll"
489,棟,とう,"むね, むな-","Ridgepole, Ridge"
490,壌,じょう,つち,"Lot, Earth, Soil"
491,漫,まん,"みだり.に, そぞ.ろ","Cartoon, Involuntarily, Unrestrained, In Spite Of Oneself, Corrupt"
492,玄,げん,"くろ, くろ.い","Mysterious, Occultness, Black, Deep, Profound"
493,粘,ねん,ねば.る,"Sticky, Glutinous, Greasy, Persevere"
494,悟,ご,さと.る,"Enlightenment, Perceive, Discern, Realize, Understand"
495,舗,ほ,,"Shop, Store, Pave"
496,妊,"にん, じん","はら.む, みごも.る",Pregnancy
497,熟,じゅく,う.れる,"Mellow, Ripen, Mature, Acquire Skill"
498,旭,きょく,あさひ,"Rising Sun, Morning Sun"
499,恩,おん,,"Grace, Kindness, Goodness, Favor, Mercy, Blessing, Benefit"
500,騰,とう,"あが.る, のぼ.る","Leaping Up, Jumping Up, Rising, Advancing, Going"
501,往,おう,"い.く, いにしえ, さき.に, ゆ.く","Journey, Travel, Chase Away, Let Go, Going, Before, Formerly"
502,豆,"とう, ず","まめ, まめ-","Beans, Pea, Midget"
503,遂,すい,"と.げる, つい.に","Consummate, Accomplish, Attain, Commit (suicide)"
504,狂,きょう,"くる.う, くる.おしい, くるお.しい","Lunatic, Insane, Crazy, Confuse"
505,栃,,とち,"Horse Chestnut, (kokuji)"
506,岐,"き, ぎ",,"Branch Off, Fork In Road, Scene, Arena, Theater"
507,陛,へい,,"Highness, Steps (of Throne)"
508,緯,い,"よこいと, ぬき","Horizontal, Woof, Left & Right, (parallels Of) Latitude, Prediction"
509,培,ばい,つちか.う,"Cultivate, Foster"
510,衰,すい,おとろ.える,"Decline, Wane, Weaken"
511,艇,てい,,"Rowboat, Small Boat"
512,屈,くつ,"かが.む, かが.める","Yield, Bend, Flinch, Submit"
513,径,けい,"みち, こみち, さしわたし, ただちに","Diameter, Path, Method"
514,淡,たん,あわ.い,"Thin, Faint, Pale, Fleeting"
515,抽,ちゅう,ひき-,"Pluck, Pull, Extract, Excel"
516,披,ひ,,"Expose, Open"
517,廷,てい,,"Courts, Imperial Court, Government Office"
518,錦,きん,にしき,"Brocade, Fine Dress, Honors"
519,准,じゅん,,"Quasi-, Semi-, Associate"
520,暑,しょ,あつ.い,"Sultry, Hot, Summer Heat"
521,磯,き,いそ,"Seashore, Beach"
522,奨,"しょう, そう",すす.める,"Exhort, Urge, Encourage"
523,浸,しん,"ひた.す, ひた.る, つ.かる","Immersed, Soak, Dip, Steep, Moisten, Wet, Dunk"
524,剰,じょう,"あまつさえ, あま.り, あま.る","Surplus, Besides"
525,胆,たん,きも,"Gall Bladder, Courage, Pluck, Nerve"
526,繊,せん,,"Slender, Fine, Thin Kimono"
527,駒,く,こま,"Pony, Horse, Colt"
528,虚,"きょ, こ","むな.しい, うつ.ろ","Void, Emptiness, Unpreparedness, Crack, Fissure, Untruth"
529,孜,し,つと.める,Industriousness
530,霊,"れい, りょう",たま,"Spirits, Soul"
531,帳,ちょう,とばり,"Notebook, Account Book, Album, Curtain, Veil, Net, Tent"
532,悔,かい,"く.いる, く.やむ, くや.しい","Repent, Regret"
533,諭,ゆ,さと.す,"Rebuke, Admonish, Charge, Warn, Persuade"
534,惨,"さん, ざん","みじ.め, いた.む, むご.い","Wretched, Disaster, Cruelty, Harsh"
535,虐,ぎゃく,しいた.げる,"Tyrannize, Oppress"
536,翻,"ほん, はん","ひるがえ.る, ひるがえ.す","Flip, Turn Over, Wave, Flutter, Change (mind)"
537,墜,つい,"お.ちる, お.つ","Crash, Fall (down)"
538,沼,しょう,ぬま,"Marsh, Lake, Bog, Swamp, Pond"
539,据,きょ,"す.える, す.わる","Set, Lay A Foundation, Install, Equip, Squat Down, Sit Down"
540,肥,ひ,"こ.える, こえ, こ.やす, こ.やし, ふと.る","Fertilizer, Get Fat, Fertile, Manure, Pamper"
541,徐,じょ,おもむ.ろに,"Gradually, Slowly, Deliberately, Gently"
542,糖,とう,,Sugar
543,搭,とう,,"Board, Load (a Vehicle), Ride"
544,盾,じゅん,たて,"Shield, Escutcheon, Pretext"
545,脈,みゃく,すじ,"Vein, Pulse, Hope"
546,滝,"ろう, そう",たき,"Waterfall, Rapids, Cascade"
547,軌,き,,"Rut, Wheel, Track, Model, Way Of Doing"
548,俵,ひょう,たわら,"Bag, Bale, Sack, Counter For Bags"
549,妨,ぼう,さまた.げる,"Disturb, Prevent, Hamper, Obstruct"
550,盧,ろ,,Hut
551,擦,さつ,"す.る, す.れる, -ず.れ, こす.る, こす.れる","Grate, Rub, Scratch, Scrape, Chafe, Scour"
552,鯨,げい,くじら,Whale
553,荘,"そう, しょう, ちゃん","ほうき, おごそ.か","Villa, Inn, Cottage, Feudal Manor, Solemn, Dignified"
554,諾,だく,,"Consent, Assent, Agreement"
555,雷,らい,"かみなり, いかずち, いかづち","Thunder, Lightning Bolt"
556,漂,ひょう,ただよ.う,"Drift, Float (on Liquid)"
557,懐,"かい, え","ふところ, なつ.かしい, なつ.かしむ, なつ.く, なつ.ける, なず.ける, いだ.く, おも.う","Pocket, Feelings, Heart, Yearn, Miss Someone, Become Attached To, Bosom, Breast"
558,勘,かん,,"Intuition, Perception, Check, Compare, Sixth Sense"
559,栽,さい,,"Plantation, Planting"
560,拐,かい,,"Kidnap, Falsify"
561,笠,りゅう,かさ,"Bamboo Hat, One's Influence"
562,駄,"だ, た",,"Burdensome, Pack Horse, Horse Load, Send By Horse, Trivial, Worthless"
563,添,てん,"そ.える, そ.う","Annexed, Accompany, Marry, Suit, Meet, Satisfy, Attach, Append, Garnish, Imitate"
564,冠,かん,かんむり,"Crown, Best, Peerless"
565,斜,しゃ,"なな.め, はす","Diagonal, Slanting, Oblique"
566,鏡,"きょう, けい",かがみ,"Mirror, Speculum, Barrel-head, Round Rice-cake Offering"
567,聡,そう,"さと.い, みみざと.い","Wise, Fast Learner"
568,浪,ろう,,"Wandering, Waves, Billows, Reckless, Unrestrained"
569,亜,あ,つ.ぐ,"Asia, Rank Next, Come After, -ous"
570,覧,らん,み.る,"Perusal, See"
571,詐,さ,いつわ.る,"Lie, Falsehood, Deceive, Pretend"
572,壇,"だん, たん",,"Podium, Stage, Rostrum, Terrace"
573,勲,くん,いさお,"Meritorious Deed, Merit"
574,魔,ま,,"Witch, Demon, Evil Spirit"
575,酬,"しゅう, しゅ, とう",むく.いる,"Repay, Reward, Retribution"
576,紫,し,むらさき,"Purple, Violet"
577,曙,しょ,あけぼの,"Dawn, Daybreak"
578,紋,もん,,"Family Crest, Figures"
579,卸,しゃ,"おろ.す, おろし, おろ.し",Wholesale
580,奮,ふん,ふる.う,"Stirred Up, Be Invigorated, Flourish"
581,趙,"ちょう, じょう, きょう",,"Nimble, Late-going"
582,欄,らん,てすり,"Column, Handrail, Blank, Space"
583,逸,いつ,"そ.れる, そ.らす, はぐ.れる","Deviate, Idleness, Leisure, Miss The Mark, Evade, Elude, Parry, Diverge"
584,涯,がい,はて,"Horizon, Shore, Limit, Bound"
585,拓,たく,ひら.く,"Clear (the Land), Open, Break Up (land)"
586,眼,"がん, げん","まなこ, め",Eyeball
587,獄,ごく,,"Prison, Jail"
588,筑,ちく,,An Ancient Musical Instrument
589,尚,しょう,なお,"Esteem, Furthermore, Still, Yet"
590,阜,"ふ, ふう",,"Hill, Mound, Left Village Radical (no. 170)"
591,彫,ちょう,"ほ.る, -ぼ.り","Carve, Engrave, Chisel"
592,穏,おん,おだ.やか,"Calm, Quiet, Moderation"
593,顕,けん,"あきらか, あらわ.れる","Appear, Existing"
594,巧,こう,"たく.み, たく.む, うま.い","Adroit, Skilled, Ingenuity"
595,矛,"む, ぼう",ほこ,"Halberd, Arms, Festival Float"
596,垣,えん,かき,"Hedge, Fence, Wall"
597,欺,ぎ,あざむ.く,"Deceit, Cheat, Delude"
598,釣,ちょう,"つ.る, つ.り, つ.り-","Angling, Fish, Catch, Allure, Ensnare"
599,萩,しゅう,はぎ,Bush Clover
600,粧,しょう,,"Cosmetics, Adorn (one's Person)"
601,葛,"かつ, かち","つづら, くず","Arrowroot, Kudzu"
602,粛,"しゅく, すく",つつし.む,"Solemn, Quietly, Softly"
603,栗,"りつ, り","くり, おののく",Chestnut
604,愚,ぐ,おろ.か,"Foolish, Folly, Absurdity, Stupid"
605,嘉,か,"よみ.する, よい","Applaud, Praise, Esteem, Happy, Auspicious"
606,遭,そう,"あ.う, あ.わせる","Encounter, Meet, Party, Association, Interview, Join"
607,架,か,"か.ける, か.かる","Erect, Frame, Mount, Support, Shelf, Construct"
608,篠,"ぞう, しょう","しの, ささ, すず",Bamboo Grass
609,鬼,き,"おに, おに-","Ghost, Devil"
610,庶,しょ,,"Commoner, All, Bastard"
611,稚,"ち, じ","いとけない, おさない, おくて, おでる","Immature, Young"
612,菅,"かん, けん",すげ,Sedge
613,滋,"じ, し",,"Nourishing, More & More, Be Luxuriant, Planting, Turbidity"
614,幻,げん,まぼろし,"Phantasm, Vision, Dream, Illusion, Apparition"
615,煮,しゃ,"に.る, -に, に.える, に.やす","Boil, Cook"
616,姫,き,"ひめ, ひめ-",Princess
617,誓,せい,ちか.う,"Vow, Swear, Pledge"
618,把,"は, わ",,"Grasp, Faggot, Bunch, Counter For Bundles"
619,践,せん,ふ.む,"Tread, Step On, Trample, Practice, Carry Through"
620,呈,てい,,"Display, Offer, Present, Send, Exhibit"
621,疎,"そ, しょ","うと.い, うと.む, まば.ら","Alienate, Rough, Neglect, Shun, Sparse, Penetrate"
622,仰,"ぎょう, こう","あお.ぐ, おお.せ, お.っしゃる, おっしゃ.る","Face-up, Look Up, Depend, Seek, Respect, Rever, Drink, Take"
623,剛,ごう,,"Sturdy, Strength"
624,疾,しつ,はや.い,Rapidly
625,征,せい,,"Subjugate, Attack The Rebellious, Collect Taxes"
626,砕,さい,"くだ.く, くだ.ける","Smash, Break, Crush, Familiar, Popular"
627,謡,よう,"うた.い, うた.う","Song, Sing, Ballad, Noh Chanting"
628,嫁,か,"よめ, とつ.ぐ, い.く, ゆ.く","Marry Into, Bride"
629,謙,けん,へりくだ.る,"Self-effacing, Humble Oneself, Condescend, Be Modest"
630,后,"こう, ご",きさき,"Empress, Queen, After, Behind, Back, Later"
631,嘆,たん,"なげ.く, なげ.かわしい","Sigh, Lament, Moan, Grieve, Sigh Of Admiration"
632,俣,,また,"Crotch, Thigh, Groin, (kokuji)"
633,菌,きん,,"Germ, Fungus, Bacteria"
634,鎌,"れん, けん",かま,"Sickle, Scythe, Trick"
635,巣,そう,"す, す.くう","Nest, Rookery, Hive, Cobweb, Den"
636,頻,ひん,しき.りに,"Repeatedly, Recur"
637,琴,"きん, ごん",こと,"Harp, Koto"
638,班,はん,,"Squad, Corps, Unit, Group"
639,淵,"えん, かく, こう","ふち, かた.い, はなわ","Abyss, Edge, Deep Pool, The Depths"
640,棚,ほう,"たな, -だな","Shelf, Ledge, Rack, Mount, Mantle, Trellis"
641,潔,けつ,いさぎよ.い,"Undefiled, Pure, Clean, Righteous, Gallant"
642,酷,こく,ひど.い,"Cruel, Severe, Atrocious, Unjust"
643,宰,さい,,"Superintend, Manager, Rule"
644,廊,ろう,,"Corridor, Hall, Tower"
645,寂,"じゃく, せき","さび, さび.しい, さび.れる, さみ.しい","Loneliness, Quietly, Mellow, Mature, Death Of A Priest"
646,辰,"しん, じん",たつ,"Sign Of The Dragon, 7-9am, Fifth Sign Of Chinese Zodiac, Shin Dragon Radical (no. 161)"
647,霞,"か, げ","かすみ, かす.む","Be Hazy, Grow Dim, Blurred"
648,伏,ふく,"ふ.せる, ふ.す","Prostrated, Bend Down, Bow, Cover, Lay (pipes)"
649,柏,"はく, ひゃく, びゃく",かしわ,"Oak, Cypress"
650,碁,ご,,Go
651,俗,ぞく,,"Vulgar, Customs, Manners, Worldliness, Mundane Things"
652,漠,ばく,,"Vague, Obscure, Desert, Wide"
653,邪,じゃ,よこし.ま,"Wicked, Injustice, Wrong"
654,晶,しょう,,"Sparkle, Clear, Crystal"
655,辻,,つじ,"Crossing, Crossroad, Street Corners, (kokuji)"
656,墨,ぼく,すみ,"Black Ink, India Ink, Ink Stick, Mexico"
657,鎮,ちん,"しず.める, しず.まる, おさえ","Tranquilize, Ancient Peace-preservation Centers"
658,洞,どう,ほら,"Den, Cave, Excavation"
659,履,り,は.く,"Perform, Complete, Footgear, Shoes, Boots, Put On (the Feet)"
660,劣,れつ,おと.る,"Inferiority, Be Inferior To, Be Worse"
661,那,"な, だ","なに, なんぞ, いかん",What?
662,殴,おう,なぐ.る,"Assault, Hit, Beat, Thrash"
663,娠,しん,,"With Child, Pregnancy"
664,奉,"ほう, ぶ","たてまつ.る, まつ.る, ほう.ずる","Observance, Offer, Present, Dedicate"
665,憂,ゆう,"うれ.える, うれ.い, う.い, う.き","Melancholy, Grieve, Lament, Be Anxious, Sad, Unhappy"
666,朴,ぼく,"ほう, ほお, えのき","Crude, Simple, Plain, Docile"
667,亭,"てい, ちん",,"Pavilion, Restaurant, Mansion, Arbor, Cottage, Vaudeville, Music Hall, Stage Name"
668,淳,"じゅん, しゅん",あつ.い,Pure
669,荻,てき,おぎ,"Reed, Rush"
670,嶋,とう,しま,Island
671,怪,"かい, け","あや.しい, あや.しむ","Suspicious, Mystery, Apparition"
672,鳩,"きゅう, く","はと, あつ.める","Pigeon, Dove"
673,柴,"さい, し",しば,"Brush, Firewood"
674,酔,すい,"よ.う, よ.い, よ","Drunk, Feel Sick, Poisoned, Elated, Spellbound"
675,惜,せき,"お.しい, お.しむ","Pity, Be Sparing Of, Frugal, Stingy, Regret"
676,穫,かく,,"Harvest, Reap"
677,佳,か,,"Excellent, Beautiful, Good, Pleasing, Skilled"
678,潤,じゅん,"うるお.う, うるお.す, うる.む","Wet, Be Watered, Profit By, Receive Benefits, Favor, Charm, Steep"
679,悼,とう,いた.む,"Lament, Grieve Over"
680,乏,ぼう,"とぼ.しい, とも.しい","Destitution, Scarce, Limited"
681,該,がい,,"Above-stated, The Said, That Specific"
682,赴,ふ,おもむ.く,"Proceed, Get, Become, Tend"
683,桑,そう,くわ,Mulberry
684,桂,けい,かつら,"Japanese Judas-tree, Cinnamon Tree"
685,髄,ずい,,"Marrow, Pith, Essence"
686,虎,こ,とら,"Tiger, Drunkard"
687,盆,ぼん,,"Basin, Lantern Festival, Tray"
688,晋,しん,すす.む,Advance
689,穂,すい,ほ,"Ear, Ear (grain), Head, Crest (wave)"
690,壮,そう,さかん,"Robust, Manhood, Prosperity"
691,堤,てい,つつみ,"Dike, Bank, Embankment"
692,飢,き,う.える,"Hungry, Starve"
693,傍,ぼう,"かたわ.ら, わき, おか-, はた, そば","Bystander, Side, Besides, While, Nearby, Third Person"
694,疫,"えき, やく",,Epidemic
695,累,るい,,"Accumulate, Involvement, Trouble, Tie Up, Continually"
696,痴,ち,"し.れる, おろか","Stupid, Foolish"
697,搬,はん,,"Conveyor, Carry, Transport"
698,晃,こう,あきらか,Clear
699,癒,ゆ,"い.える, いや.す, い.やす","Healing, Cure, Quench (thirst), Wreak"
700,桐,"とう, どう",きり,Paulownia
701,寸,すん,,"Measurement, Tenth Of A Shaku, A Little, Small"
702,郭,かく,くるわ,"Enclosure, Quarters, Fortification, Red-light District"
703,尿,にょう,"ゆばり, いばり, しと",Urine
704,凶,きょう,,"Villain, Evil, Bad Luck, Disaster"
705,吐,と,"は.く, つ.く","Spit, Vomit, Belch, Confess, Tell (lies)"
706,宴,えん,うたげ,"Banquet, Feast, Party"
707,鷹,"よう, おう",たか,Hawk
708,賓,ひん,,"V.i.p., Guest"
709,虜,"りょ, ろ","とりこ, とりく","Captive, Barbarian, Low Epithet For The Enemy"
710,陶,とう,すえ,"Pottery, Porcelain"
711,鐘,しょう,かね,"Bell, Gong, Chimes"
712,憾,かん,うら.む,"Remorse, Regret, Be Sorry"
713,畿,き,みやこ,"Capital, Suburbs Of Capital"
714,猪,ちょ,"い, いのしし",Boar
715,紘,こう,"おおづな, つな, つなぐ",Large
716,磁,じ,,"Magnet, Porcelain"
717,弥,"み, び","や, いや, いよ.いよ, わた.る","All The More, Increasingly"
718,昆,こん,,"Descendants, Elder Brother, Insect"
719,粗,そ,"あら.い, あら-","Coarse, Rough, Rugged"
720,訂,てい,ただ.す,"Revise, Correct, Decide"
721,芽,が,め,"Bud, Sprout, Spear, Germ"
722,尻,こう,しり,"Buttocks, Hips, Butt, Rear"
723,庄,"しょう, そ, そう, ほう",,"Level, In The Country, Manor, Village, Hamlet"
724,傘,さん,かさ,Umbrella
725,敦,"とん, たい, だん, ちょう",あつ.い,"Industry, Kindliness"
726,騎,き,,"Equestrian, Riding On Horses, Counter For Equestrians"
727,寧,ねい,むし.ろ,"Rather, Preferably, Peaceful, Quiet, Tranquility"
728,循,じゅん,,"Sequential, Follow"
729,忍,にん,"しの.ぶ, しの.ばせる","Endure, Bear, Put Up With, Conceal, Secrete, Spy, Sneak"
730,磐,"ばん, はん",いわ,"Rock, Crag, Cliff, Wall (in A Mine)"
731,怠,たい,"おこた.る, なま.ける","Neglect, Laziness"
732,如,"じょ, にょ",ごと.し,"Likeness, Like, Such As, As If, Better, Best, Equal"
733,寮,りょう,,"Dormitory, Hostel, Villa, Tea Pavillion"
734,祐,"ゆう, う",たす.ける,Help
735,鵬,ほう,おおとり,Phoenix
736,鉛,えん,なまり,Lead
737,珠,しゅ,たま,"Pearl, Gem, Jewel"
738,凝,ぎょう,"こ.る, こ.らす, こご.らす, こご.らせる, こご.る","Congeal, Freeze, Stiff, Be Absorbed In"
