ID,Kanji,Onyomi,Kunyomi,Meaning
335,雪,setsu,yuki,snow
336,吹,sui,fu(ku),"blow, breathe, puff"
337,娘,jou,"musume, ko","daughter, girl"
338,誤,go,ayama(ru),mistake
339,洗,sen,ara(u),wash
340,慣,kan,na(reru),"accustomed, get used to"
341,礼,"rei, rai",,"salute, bow, ceremony, thanks"
342,窓,sou,mado,"window, pane"
343,昔,"seki, shaku",mukashi,"once upon a time, old times"
344,貧,"hin, bin",mazu(shii),"poverty, poor"
345,怒,do,"ika(ru), oko(ru)","angry, be offended"
346,泳,ei,oyo(gu),swim
347,祖,so,,"ancestor, pioneer, founder"
348,杯,hai,sakazuki,"glass, cup"
349,疲,hi,tsuka(reru),"exhausted, tire"
350,皆,kai,"mina, minna","all, everyone, everybody"
351,鳴,mei,na(ru),"chirp, cry, bark"
352,腹,fuku,hara,"abdomen, belly, stomach"
353,煙,en,"kemu(ru), kemuri",smoke
354,眠,min,nemu(ru),sleep
355,怖,fu,"kowa(i), o(jiru)","dreadful, fearful"
356,耳,ji,mimi,ear
357,頂,chou,itada(ku),"receive, top, summit, peak"
358,箱,sou,hako,"box, chest"
359,晩,ban,,"nightfall, night"
360,寒,kan,samu(i),cold
361,髪,hatsu,kami,hair (on the head)
362,忙,"bou, mou",isoga(shii),"busy, occupied"
363,才,sai,,"genius, years old"
364,靴,ka,kutsu,shoes
365,恥,chi,"haji, ha(zukashii)","shame, dishonor"
366,偶,guu,tama,"accidentally, even number"
367,偉,i,era(i),"admirable, greatness"
368,猫,byou,neko,cat
369,幾,ki,iku(tsu),"how many, how much, some"
370,誰,sui,dare,"who, someone, somebody"
